epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
116,1577.26,1.46804,2.04928,1.0225,0.00515,0.65374,0.90707,0.81469,0.91269,0.70229,0.88938,0.7589,0.84208,0.56424,1.12803,1.68139,0.6549,0.00433,0,0.00968045,0.00968045,0.00968045
117,1591.2,1.4797,2.08316,1.06302,0.0052,0.69539,0.89591,0.8573,0.92168,0.7089,0.86317,0.82002,0.87203,0.58964,1.1101,1.61559,0.65737,0.00422,0,0.00967493,0.00967493,0.00967493
118,1605.1,1.45025,2.0456,1.02448,0.00526,0.64595,0.8959,0.82292,0.90845,0.69878,0.87529,0.78639,0.85459,0.58316,1.12724,1.56903,0.64828,0.00432,0,0.00966936,0.00966936,0.00966936
119,1618.99,1.46543,2.04667,1.02864,0.00519,0.67857,0.8993,0.7966,0.90491,0.67997,0.86901,0.77402,0.85458,0.56392,1.17564,1.63512,0.66429,0.00453,0,0.00966375,0.00966375,0.00966375
120,1632.87,1.48273,2.0658,1.0123,0.00522,0.66406,0.9017,0.85736,0.92148,0.70261,0.8774,0.81869,0.8673,0.59944,1.10246,1.59223,0.64125,0.00438,0,0.0096581,0.0096581,0.0096581
121,1646.93,1.47079,2.08749,1.03132,0.00542,0.64067,0.87527,0.82663,0.8873,0.67241,0.8495,0.78673,0.83094,0.56128,1.15091,1.64803,0.69455,0.00441,0,0.00965239,0.00965239,0.00965239
122,1661.04,1.45578,2.0266,1.00853,0.00519,0.63038,0.86048,0.80854,0.89046,0.6887,0.82996,0.77344,0.83704,0.56601,1.15355,1.63475,0.72401,0.00463,0,0.00964665,0.00964665,0.00964665
123,1675.1,1.43634,1.98893,0.99237,0.00509,0.65525,0.87315,0.84985,0.90853,0.69582,0.84105,0.81644,0.84516,0.56214,1.13232,1.53425,0.69236,0.00442,0,0.00964085,0.00964085,0.00964085
124,1689.22,1.45093,2.06308,1.03483,0.00529,0.67307,0.82027,0.88383,0.88638,0.6699,0.82205,0.81982,0.82617,0.5545,1.16258,1.61049,0.67334,0.00482,0,0.00963502,0.00963502,0.00963502
125,1703.34,1.43615,2.00649,1.01343,0.00516,0.67126,0.81629,0.85546,0.88929,0.68836,0.83527,0.78501,0.82203,0.5605,1.12841,1.57672,0.68401,0.00453,0,0.00962913,0.00962913,0.00962913
126,1717.27,1.44414,1.99309,1.00626,0.00517,0.65403,0.8388,0.81818,0.9042,0.69116,0.8803,0.73054,0.82833,0.57052,1.11577,1.64131,0.65236,0.00426,0,0.0096232,0.0096232,0.0096232
127,1731.19,1.43338,2.04149,1.01151,0.00531,0.61461,0.88019,0.81708,0.91007,0.6854,0.86207,0.78128,0.85078,0.58244,1.12629,1.60939,0.65609,0.00437,0,0.00961723,0.00961723,0.00961723
128,1745.12,1.44066,2.0166,1.02823,0.00538,0.61695,0.88662,0.87312,0.9174,0.69754,0.861,0.81649,0.86168,0.5837,1.13835,1.65765,0.64994,0.00428,0,0.00961121,0.00961121,0.00961121
129,1759.06,1.45557,2.03598,0.99969,0.00502,0.65873,0.89369,0.81995,0.90687,0.69492,0.85397,0.78169,0.85707,0.574,1.12495,1.57807,0.66533,0.00453,0,0.00960515,0.00960515,0.00960515
130,1773.01,1.44402,2.06088,1.01226,0.00529,0.64611,0.83812,0.86507,0.89283,0.66601,0.83647,0.76487,0.8055,0.53633,1.13024,1.54428,0.69732,0.0045,0,0.00959904,0.00959904,0.00959904
131,1786.99,1.42829,2.01666,1.00699,0.00512,0.62677,0.86929,0.84449,0.90714,0.69262,0.82942,0.78617,0.8324,0.54945,1.13437,1.56798,0.64181,0.00447,0,0.00959289,0.00959289,0.00959289
132,1800.96,1.42505,1.99821,0.97703,0.00512,0.64694,0.8677,0.82598,0.89052,0.66156,0.85563,0.75693,0.81993,0.53709,1.14957,1.59882,0.6733,0.00448,0,0.00958669,0.00958669,0.00958669
133,1814.88,1.44101,1.95705,0.97703,0.00507,0.66256,0.86008,0.81776,0.90172,0.68814,0.82019,0.78611,0.84279,0.56146,1.1102,1.57277,0.66234,0.00436,0,0.00958044,0.00958044,0.00958044
134,1828.84,1.44866,2.0226,1.01287,0.00525,0.69004,0.80454,0.88098,0.90556,0.69538,0.76213,0.84504,0.85584,0.56354,1.12107,1.5963,0.69991,0.00448,0,0.00957416,0.00957416,0.00957416
135,1842.89,1.4421,1.98849,0.99513,0.00522,0.64449,0.85035,0.88986,0.91902,0.70739,0.79867,0.83645,0.85092,0.56254,1.12022,1.56326,0.67605,0.00436,0,0.00956782,0.00956782,0.00956782
136,1856.52,1.41035,1.95145,0.97711,0.00506,0.62107,0.86554,0.88844,0.92127,0.70256,0.82325,0.84171,0.87343,0.55531,1.11882,1.62402,0.63647,0.00445,0,0.00956145,0.00956145,0.00956145
137,1870.73,1.44144,2.00253,0.99967,0.00505,0.64093,0.86984,0.85702,0.9117,0.71374,0.82312,0.80816,0.82163,0.56674,1.09142,1.61424,0.6352,0.00418,0,0.00955502,0.00955502,0.00955502
138,1884.46,1.42802,2.00453,1.00042,0.00507,0.64218,0.86544,0.8895,0.91913,0.70807,0.81158,0.82012,0.84278,0.57453,1.11306,1.66656,0.68831,0.00423,0,0.00954856,0.00954856,0.00954856
139,1898.39,1.40917,1.97065,0.97224,0.00506,0.65028,0.88755,0.84199,0.91789,0.71013,0.84439,0.79681,0.85338,0.55597,1.12453,1.60615,0.72332,0.00431,0,0.00954205,0.00954205,0.00954205
140,1911.87,1.41569,1.95478,0.9855,0.00505,0.59854,0.88006,0.88855,0.92309,0.69761,0.8193,0.81849,0.84813,0.58807,1.12006,1.53851,0.70484,0.00434,0,0.00953549,0.00953549,0.00953549
141,1925.75,1.42647,1.9734,0.9919,0.00495,0.60233,0.89959,0.83037,0.91665,0.70369,0.89531,0.75862,0.83728,0.56345,1.10181,1.61946,0.69369,0.00428,0,0.00952889,0.00952889,0.00952889
142,1939.59,1.44291,2.00626,0.99667,0.00507,0.65199,0.88109,0.83482,0.90939,0.69189,0.84001,0.79341,0.83809,0.56003,1.15221,1.68084,0.6788,0.00458,0,0.00952225,0.00952225,0.00952225
143,1953.41,1.42436,2.0068,0.99016,0.00515,0.62781,0.85482,0.83492,0.89951,0.69372,0.90183,0.72139,0.82325,0.54101,1.17508,1.75438,0.70036,0.0046,0,0.00951556,0.00951556,0.00951556
144,1967,1.41987,1.95804,0.94455,0.00507,0.59928,0.89904,0.84495,0.92532,0.70347,0.86471,0.81142,0.86048,0.58645,1.14027,1.55353,0.65991,0.00438,0,0.00950883,0.00950883,0.00950883
145,1980.56,1.42444,1.95207,0.95068,0.00517,0.58927,0.85497,0.89255,0.91509,0.7053,0.80657,0.84216,0.84992,0.56422,1.14265,1.57512,0.64808,0.00449,0,0.00950206,0.00950206,0.00950206
146,1993.96,1.41321,1.95347,0.94986,0.00492,0.57096,0.85536,0.83539,0.89973,0.69802,0.84152,0.79744,0.83655,0.56879,1.13042,1.59088,0.67105,0.0046,0,0.00949524,0.00949524,0.00949524
147,2007.8,1.42548,2.00369,0.97434,0.00503,0.60574,0.90727,0.83947,0.91458,0.70423,0.86021,0.79548,0.838,0.57234,1.14998,1.61862,0.68685,0.00447,0,0.00948837,0.00948837,0.00948837
148,2021.66,1.41232,1.98178,0.96839,0.00502,0.61554,0.88718,0.83296,0.91371,0.69949,0.8659,0.7817,0.84378,0.56748,1.15228,1.60305,0.66994,0.0045,0,0.00948147,0.00948147,0.00948147
149,2035.4,1.4191,1.98327,0.96343,0.00501,0.60367,0.82311,0.87031,0.91486,0.71185,0.89992,0.74765,0.84625,0.5916,1.10889,1.58095,0.6788,0.00435,0,0.00947452,0.00947452,0.00947452
150,2049.12,1.4048,1.94264,0.96634,0.00486,0.6234,0.8843,0.8161,0.90606,0.7091,0.84167,0.78439,0.84724,0.56635,1.09904,1.63375,0.66393,0.00429,0,0.00946752,0.00946752,0.00946752
151,2062.79,1.38252,1.91767,0.91667,0.00487,0.57127,0.8268,0.87491,0.90837,0.68551,0.77463,0.81825,0.8332,0.56174,1.1304,1.63037,0.66971,0.00428,0,0.00946048,0.00946048,0.00946048
152,2076.82,1.40407,1.99506,0.96219,0.005,0.59214,0.89149,0.82036,0.90217,0.69382,0.85724,0.78357,0.82151,0.55871,1.15142,1.66156,0.69522,0.00451,0,0.0094534,0.0094534,0.0094534
153,2090.7,1.39577,1.92261,0.94144,0.00498,0.63748,0.84892,0.85791,0.91542,0.71034,0.85064,0.75681,0.84835,0.57908,1.11212,1.64852,0.62439,0.00436,0,0.00944628,0.00944628,0.00944628
154,2104.43,1.39896,1.9131,0.92983,0.005,0.56654,0.87373,0.87892,0.92128,0.70756,0.8278,0.77742,0.81668,0.55699,1.13649,1.71318,0.6653,0.00433,0,0.00943911,0.00943911,0.00943911
155,2118.28,1.38634,1.9018,0.91453,0.00491,0.54417,0.92132,0.82087,0.92157,0.72652,0.87968,0.78024,0.8578,0.58292,1.14145,1.59878,0.64182,0.00458,0,0.00943189,0.00943189,0.00943189
156,2132.19,1.40598,1.93908,0.95542,0.00501,0.59239,0.91238,0.85612,0.92684,0.72347,0.88339,0.79961,0.86188,0.58876,1.12091,1.61309,0.63796,0.00447,0,0.00942464,0.00942464,0.00942464
